score,smiles,Name,SA_Score
0.802979553,COc1cc(F)cc2c(=O)n(-c3[nH][nH]c(=O)c3C(=O)O)c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc12,49569150_19737344_259505376,4.365703714892015
0.802170444,O=C(O)c1c(-n2c(C[C@@H]3CNCCN3)nc3c(F)c(Cl)ccc3c2=O)[nH][nH]c1=O,20475958_19737344_20357844,3.8198979069704997
0.801894224,O=c1c2ccc(Cl)c(F)c2nc([C@H]2CNCCN2)n1[C@]1(C(=O)O)C[C@@H](O)C1,20475958_585669989_19371708,3.8309464963748434
0.801180255,COc1ccc2c(=O)n(-c3[nH][nH]c(=O)c3C(=O)O)c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc2c1F,71790418_19737344_259505376,4.386863307107029
0.800874299,O=C(O)c1c(-n2c(=O)c3ccc(Cl)c(F)c3nc2[C@]2(O)C[C@@H](O)C2)[nH][nH]c1=O,20475958_19737344_1083812836,3.433109083124201
0.800580579,COc1cc2nc([C@@H]3[C@H]4CNC(=O)[C@H]43)n(-c3[nH][nH]c(=O)c3C(=O)O)c(=O)c2cc1F,95743036_19737344_259505376,4.296851629627881
0.800453261,O=C(O)c1c(-n2c([C@H]3N[C@H]4C=C[C@H]3C4)nc3c(F)c(Cl)ccc3c2=O)[nH][nH]c1=O,20475958_19737344_103538200,5.253155193826484
0.800099108,O=C(O)c1c(-n2c([C@@H]3CNCCN3)nc3c(F)c(Cl)ccc3c2=O)[nH][nH]c1=O,20475958_19737344_19363542,3.8575544025642703
0.79960289,O=C1CN[C@H](c2nc3c(F)c(Cl)ccc3c(=O)n2[C@]2(C(=O)O)C[C@@H](O)C2)CN1,20475958_585669989_76576478,3.9364855143674458
0.797106457,Cc1nc2nc([C@@H]3[C@H]4CNC(=O)[C@H]43)n(-c3[nH][nH]c(=O)c3C(=O)O)c(=O)c2cc1F,575440743_19737344_259505376,4.561796447975328
0.794916254,O=C(O)c1c(-n2c(=O)c3ccc(Cl)c(F)c3nc2[C@H]2C[C@H](O)C2)[nH][nH]c1=O,20475958_19737344_100077688,3.2361860250624677
0.794559419,O=C(O)c1c(-n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3cnc(F)cc3c2=O)[nH][nH]c1=O,2525015_19737344_259505376,4.527428479400788
0.794376737,N[C@]1(c2nc3c(F)c(Cl)ccc3c(=O)n2-c2[nH][nH]c(=O)c2C(=O)O)C[C@@H](O)C1,20475958_19737344_585669989,3.4851263138934323
0.794302893,Nc1nc2nc([C@@H]3[C@H]4CNC(=O)[C@H]43)n([C@]3(C(=O)O)C[C@@H](O)C3)c(=O)c2cc1Cl,98213471_585669989_259505376,4.578915710792878
0.79415893,COc1c(F)ccc2c(=O)n(-c3[nH][nH]c(=O)c3C(=O)O)c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc12,51951633_19737344_259505376,4.404649776059761
0.79378739,CN(Cc1nc2c(F)c(Cl)ccc2c(=O)n1[C@]1(C(=O)O)C[C@@H](O)C1)C1CNC1,20475958_585669989_85258105,3.286581698508817
0.793412578,O=C(O)c1c(-n2c(=O)c3ccc(Cl)c(F)c3nc2[C@H]2C[C@@H](O)C2)[nH][nH]c1=O,20475958_19737344_100009211,3.2361860250624677
0.792856532,O=C1CNC[C@H](c2nc3c(F)c(Cl)ccc3c(=O)n2-c2[nH][nH]c(=O)c2C(=O)O)N1,20475958_19737344_38540696,3.9163095309021223
0.792669302,CN1CCNC[C@@H]1c1nc2cc(N)c(C(=O)O)cc2c(=O)n1[C@]1(C(=O)O)C[C@@H](O)C1,3191201_585669989_89223304,3.734467701948148
0.792362076,O=C1CN[C@@H](c2nc3c(F)c(Cl)ccc3c(=O)n2[C@]2(C(=O)O)C[C@@H](O)C2)CN1,20475958_585669989_76576471,3.9364855143674458
0.7917826,Nc1cc2c(=O)n([C@@H]3C[C@H](CO)[C@@H](O)[C@H]3O)c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc2cc1C(=O)O,330106_2389432_259505376,4.729395721790338
0.791611782,N[C@]1(c2nc3c(F)c(Cl)ccc3c(=O)n2-c2[nH][nH]c(=O)c2C(=O)O)C[C@H](O)C1,20475958_19737344_307180381,3.4851263138934323
0.79093805,Cc1ncc(C(=O)O)c2c(=O)n(C(=N)N3CCNC(=O)C3)c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc12,1729539_19874146_259505376,4.630674961720184
0.789751035,COCC1=NNC(n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3c(C)ncc(C(=O)O)c3c2=O)=NN1,1729539_49474209_259505376,4.854272710162601
0.78961333,O=C(O)c1c(-n2c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc3ncc(Cl)cc3c2=O)[nH][nH]c1=O,11919722_19737344_259505376,4.4876261125368835
0.788814193,COc1cc2c(=O)n(-c3[nH][nH]c(=O)c3C(=O)O)c([C@@H]3[C@H]4CNC(=O)[C@H]43)nc2cc1F,39090179_19737344_259505376,4.30475895122195
0.788771284,N=C(N1CCNC(=O)C1)n1c([C@@H]2[C@H]3CNC(=O)[C@H]32)nc2cc(N)c(C(=O)O)cc2c1=O,3191201_19874146_259505376,4.438793029698719
